id,team_id,knowledge_hiding,tenure_current_team,age,education,gender_female
CH01_01,17,1,1,35,3,1
CH01_02,17,2,2,36,2,0
CH01_03,17,2.17,1,24,3,1
CH01_04,17,2.58,1,35,3,1
CH01_05,17,1.92,2,29,3,1
CH01_06,17,1.08,1,30,2,0
CH01_07,17,1.83,2,43,4,1
CH01_08,17,1.42,2,24,3,0
CH01_09,17,1.58,2,30,3,0
CH02_01,18,1.42,2,38,3,1
CH02_02,18,1.08,1,25,3,1
CH02_03,18,2.5,2,32,3,0
CH02_04,18,2.17,2,30,3,1
CH02_05,18,1,2,35,3,1
CH03_01,19,2,3,38,4,0
CH03_02,19,3.33,3,30,3,1
CH03_03,19,3,1,30,3,1
CH03_04,19,3.67,3,36,3,0
CH03_05,19,2.25,2,40,2,0
CH03_06,19,1.33,2,36,3,1
CH04_01,20,2.17,5,48,2,1
CH04_02,20,2,4,30,2,1
CH04_03,20,1.08,5,45,3,1
CH04_04,20,1.75,2,37,4,1
CH04_05,20,1.67,2,43,3,1
CH04_06,20,2.92,1,39,2,1
CH04_07,20,1,1,28,3,1
CH04_08,20,1.25,2,40,2,1
CH05_01,21,1.25,2,25,4,0
CH05_02,21,2,2,27,5,1
CH05_03,21,1.83,1,30,3,0
CH05_04,21,2.33,1,25,3,0
CH05_05,21,1,2,24,2,1
CH05_06,21,2.75,1,26,3,0
CH05_07,21,1,1,25,3,0
CH06_01,22,3.58,3,41,4,0
CH06_02,22,1.67,3,40,3,1
CH06_03,22,1.42,2,49,3,0
CH06_04,22,1.58,2,34,2,0
CH06_05,22,2.42,1,40,2,0
CH07_01,23,1,1,27,3,0
CH07_02,23,1,2,29,4,0
CH07_03,23,1.08,1,26,3,0
CH07_04,23,1.25,2,24,3,0
CH07_05,23,1,2,55,2,0
CH07_06,23,1.75,2,32,3,1
CH07_07,23,1.58,3,31,3,0
CH07_08,23,2,2,30,3,0
CH07_09,23,2.08,2,40,3,1
CH07_10,23,2,2,28,3,0
CH07_11,23,2.33,3,27,3,0
CH07_12,23,2.75,2,38,3,0
CH07_13,23,1.92,1,26,3,0
CH07_14,23,2,2,27,3,1
CH08_01,24,2.25,1,25,3,1
CH08_02,24,2.5,4,33,3,0
CH08_03,24,2.17,1,24,4,0
CH08_04,24,1.92,1,26,4,1
CH08_05,24,1.83,1,27,4,0
CH08_06,24,3,1,23,3,1
CH08_07,24,1.83,4,28,3,1
CH09_01,25,1,2,36,2,0
CH09_02,25,2.17,1,35,3,0
CH09_03,25,2.42,1,36,3,0
CH09_04,25,2.42,1,37,3,1
CH09_05,25,1,2,44,3,0
CH10_01,26,1.75,1,25,2,1
CH10_02,26,1,2,30,2,1
CH10_03,26,1,2,36,3,1
CH10_04,26,1.33,2,37,3,0
CH10_05,26,1.33,2,34,4,1
CH11_01,27,1.83,1,44,4,0
CH11_02,27,1.67,2,50,2,0
CH11_03,27,1,3,35,3,0
CH11_04,27,1,3,35,3,1
CH11_05,27,2,2,35,3,1
CH12_01,28,3,3,31,3,0
CH12_02,28,3,2,30,3,0
CH12_03,28,2.58,3,33,2,1
CH12_04,28,2.5,2,32,4,1
CH13_01,29,1.25,1,30,2,0
CH13_02,29,2.5,1,26,3,1
CH13_03,29,2.42,1,40,4,0
CH13_04,29,1.58,1,30,3,0
CH13_05,29,2,2,26,3,1
CH13_06,29,1.75,1,30,2,1
CH13_07,29,1.92,1,30,3,1
CH13_08,29,1.42,1,25,3,1
CH13_09,29,2.33,1,30,3,1
CH14_01,30,1.92,1,27,3,0
CH14_02,30,1.58,1,28,3,1
CH14_03,30,1.67,1,28,2,0
CH14_04,30,2.5,1,30,3,0
CH14_05,30,1.25,1,30,2,0
CH14_06,30,1.92,1,30,3,0
CH14_07,30,2.33,1,27,3,1
CH14_08,30,1.17,2,39,3,0
CH15_01,31,1,2,37,4,0
CH15_02,31,1.33,2,34,3,1
CH15_03,31,1,2,25,3,0
CH15_04,31,2.25,1,32,3,1
CH15_05,31,1,2,30,3,0
CH15_06,31,1,1,33,3,0
CH15_07,31,2.75,2,30,3,0
CH15_08,31,2,2,28,3,0
