id,team_id,knowledge_hiding,tenure_current_team,age,education,gender_female
US01_01,1,1.17,2,54,1,1
US01_02,1,1.5,3,39,4,1
US01_03,1,1,2,51,2,1
US01_04,1,1,2,26,3,1
US01_05,1,1,1,25,1,0
US01_06,1,1.08,4,63,1,1
US02_01,2,1,3,73,2,1
US02_02,2,1.42,2,39,1,1
US02_03,2,1.17,2,48,1,0
US02_04,2,1.67,2,44,2,1
US02_05,2,1.67,2,20,1,1
US02_06,2,1,2,69,3,0
US02_07,2,2.33,2,32,2,1
US03_01,3,1.42,2,40,1,0
US03_02,3,1,2,38,1,0
US03_03,3,1,1,42,1,1
US04_01,4,1,3,68,1,1
US04_02,4,1.33,2,56,1,0
US04_03,4,1.08,3,55,1,0
US04_04,4,1.25,1,22,1,0
US04_05,4,1,2,22,1,0
US04_06,4,2.25,2,31,1,0
US04_07,4,1.08,2,19,2,0
US04_08,4,1.5,2,49,1,1
US05_01,5,1.17,2,25,3,1
US05_02,5,1,2,24,1,1
US05_03,5,1.67,2,37,3,1
US05_04,5,1,2,27,3,1
US05_05,5,1,2,30,1,1
US06_01,6,2.17,2,32,2,0
US06_02,6,1.33,2,30,4,0
US06_03,6,1,1,24,1,0
US06_04,6,1.17,2,26,3,0
US06_05,6,1,2,29,1,0
US06_06,6,1.17,2,30,1,0
US06_07,6,1.42,1,34,4,0
US06_08,6,1.17,1,24,3,0
US06_09,6,1.08,1,34,3,0
US06_10,6,1,2,25,3,0
US06_11,6,1.5,2,29,1,0
US07_01,7,1.67,2,44,3,0
US07_02,7,1.08,1,39,3,0
US07_03,7,1.25,2,32,3,0
US07_04,7,2.08,2,25,3,0
US07_05,7,1.33,2,24,4,0
US07_06,7,1.83,2,26,4,0
US08_01,8,1.08,2,37,5,1
US08_02,8,2.17,2,30,4,1
US08_03,8,1,2,54,4,1
US08_04,8,1.92,2,26,4,1
US08_05,8,1,2,26,3,1
US08_06,8,1,2,24,4,1
US08_07,8,1.83,2,24,4,1
US09_01,9,1,1,31,4,0
US09_02,9,1,2,26,3,0
US09_03,9,2.08,2,41,4,1
US09_04,9,1.08,2,46,3,0
US09_05,9,1.42,2,47,3,0
US10_01,10,1.83,2,30,5,0
US10_02,10,1,1,27,1,1
US10_03,10,1.67,4,40,1,1
US10_04,10,1.25,1,30,4,1
US10_05,10,2,1,55,2,1
US11_01,11,1.5,2,33,1,0
US11_02,11,2.33,3,32,5,1
US11_03,11,1.42,2,25,2,0
US11_04,11,1,2,22,3,1
US11_05,11,1.42,2,27,5,1
US12_01,12,1,2,49,3,1
US12_02,12,1.25,2,41,5,0
US12_03,12,1.67,2,45,5,0
US12_04,12,1,4,59,4,1
US12_05,12,1.33,5,45,3,1
US12_06,12,1.42,2,40,5,1
US13_01,13,1,2,51,4,0
US13_02,13,1.17,4,40,3,1
US13_03,13,1.5,4,43,3,0
US13_04,13,1,2,44,4,0
US13_05,13,1.58,4,45,4,1
US13_06,13,2.33,4,46,3,0
US14_01,14,1,2,65,3,0
US14_02,14,1,2,60,4,1
US14_03,14,1,1,50,4,0
US14_04,14,1.17,1,61,4,0
US14_05,14,1.42,2,39,3,0
US15_01,15,1,1,31,5,0
US15_02,15,1.92,2,30,4,1
US15_03,15,2.25,1,26,4,1
US15_04,15,1.42,2,35,5,0
US15_05,15,1.67,2,31,4,1
US15_06,15,1.75,2,37,5,0
US16_01,16,2,1,40,4,0
US16_02,16,1,2,42,5,1
US16_03,16,1.33,1,39,3,1
US16_04,16,1.58,1,40,5,1
